add-yield-none,4,1000000,8000000,2733889744,341,-250758
add-yield-m,2,10000,40000,59877274,1496,0
add-yield-m,4,10000,80000,310521058,3881,0
add-yield-m,8,10000,160000,580679297,3629,0
add-yield-m,12,10000,240000,742757389,3094,0
add-yield-c,2,10000,40000,36588932,914,0
add-yield-c,4,10000,80000,73511722,918,0
add-yield-c,8,10000,160000,147628086,922,0
add-yield-c,12,10000,240000,226148748,942,0
add-yield-s,2,10000,40000,38284930,957,0
add-yield-s,4,10000,80000,91629244,1145,0
add-yield-s,8,1000,16000,19696626,1231,0
add-yield-s,12,1000,24000,53899711,2245,0
add-m,1,10000,20000,725835,36,0
add-m,2,10000,40000,4086931,102,0
add-m,4,10000,80000,14920910,186,0
add-m,8,10000,160000,34514541,215,0
add-m,12,10000,240000,66561813,277,0
add-c,1,10000,20000,503411,25,0
add-c,2,10000,40000,1659135,41,0
add-c,4,10000,80000,5049852,63,0
add-c,8,10000,160000,11919942,74,0
add-c,12,10000,240000,25033406,104,0
add-s,1,10000,20000,399128,19,0
add-s,2,10000,40000,2588358,64,0
add-s,4,10000,80000,10970017,137,0
add-s,8,10000,160000,38236041,238,0
add-s,12,10000,240000,67860249,282,0
add-none,2,100,400,144658,361,-68
add-none,2,1000,4000,175543,43,-383
add-none,2,10000,40000,624040,15,-1967
add-none,2,100000,400000,6489174,16,-40275
add-none,4,100,800,159153,198,0
add-none,4,1000,8000,276831,34,508
add-none,4,10000,80000,1262593,15,3556
add-none,4,100000,800000,12509182,15,-9434
add-none,8,100,1600,254320,158,0
add-none,8,1000,16000,368774,23,-300
add-none,8,10000,160000,3206030,20,-1124
add-none,8,100000,1600000,28491984,17,-10259
add-none,12,100,2400,401896,167,0
add-none,12,1000,24000,560283,23,-587
add-none,12,10000,240000,4343617,18,-1158
add-none,12,100000,2400000,42310157,17,-27319
add-yield-none,2,10,40,153381,3834,6
add-yield-none,4,10,80,215811,2697,3
add-yield-none,8,10,160,268672,1679,13
add-yield-none,12,10,240,362039,1508,14
add-yield-none,2,20,80,116081,1451,7
add-yield-none,4,20,160,150261,939,44
add-yield-none,8,20,320,265956,831,45
add-yield-none,12,20,480,409989,854,60
add-yield-none,2,40,160,218627,1366,0
add-yield-none,4,40,320,267523,836,65
add-yield-none,8,40,640,330866,516,84
add-yield-none,12,40,960,430340,448,172
add-yield-none,2,80,320,249395,779,4
add-yield-none,4,80,640,288044,450,74
add-yield-none,8,80,1280,412335,322,44
add-yield-none,12,80,1920,528478,275,61
add-yield-none,2,100,400,318977,797,0
add-yield-none,4,100,800,363820,454,64
add-yield-none,8,100,1600,462358,288,142
add-yield-none,12,100,2400,560575,233,75
add-yield-none,2,1000,4000,2041477,510,3
add-yield-none,4,1000,8000,2681407,335,-556
add-yield-none,8,1000,16000,2078336,129,120
add-yield-none,12,1000,24000,2219630,92,222
add-yield-none,2,10000,40000,18194179,454,38
add-yield-none,4,10000,80000,18407385,230,107
add-yield-none,8,10000,160000,18232145,113,108
add-yield-none,12,10000,240000,19204812,80,95
add-yield-none,2,100000,400000,176067357,440,200
add-yield-none,4,100000,800000,179557560,224,-3820
add-yield-none,8,100000,1600000,182658263,114,-991
add-yield-none,12,100000,2400000,186688633,77,-2766
add-none,1,100,200,82305,411,0
add-none,1,1000,2000,101607,50,0
add-none,1,10000,20000,294594,14,0
add-none,1,100000,200000,2163748,10,0
add-none,1,1000000,2000000,19372928,9,0
add-none,2,100,400,122416,306,0
add-none,2,1000,4000,190052,47,-76
